location,Ann Arbor,Ann Arbor,Ann Arbor,Ann Arbor
lat,42.33319,42.33319,42.33319,42.33319
lon,-83.90625,-83.90625,-83.90625,-83.90625
asl,279.350,279.350,279.350,279.350
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Ann Arbor Temperature [2 m elevation corrected],Ann Arbor Precipitation Total,Ann Arbor Wind Speed [10 m],Ann Arbor Wind Direction [10 m]
20200405T0000,6.2772775,0.0,11.800047,331.69928
20200405T0100,5.4172773,0.0,12.523634,336.16125
20200405T0200,4.6772776,0.0,12.8093815,343.0725
20200405T0300,4.0172772,0.0,13.061753,348.23172
20200405T0400,3.4972773,0.0,12.856389,354.05316
20200405T0500,3.0272772,0.0,12.523633,358.78113
20200405T0600,2.6172771,0.0,11.987999,360.0
20200405T0700,2.2272773,0.0,11.467584,2.6629944
20200405T0800,2.157277,0.0,12.300643,17.650116
20200405T0900,2.8072772,0.0,12.723215,19.57312
20200405T1000,4.5472775,0.0,12.132174,19.230667
20200405T1100,6.4172773,0.0,11.630427,20.095215
20200405T1200,8.207277,0.0,11.5784445,23.025482
20200405T1300,9.917277,0.0,11.318082,26.565033
20200405T1400,11.207277,0.0,11.566178,28.926407
20200405T1500,12.147277,0.0,11.833079,31.184967
20200405T1600,12.617277,0.0,11.833079,31.184967
20200405T1700,12.707277,0.0,11.973191,32.275635
20200405T1800,12.347277,0.0,11.895886,34.04593
20200405T1900,11.397277,0.0,11.529304,40.314102
20200405T2000,8.7972765,0.0,8.87156,48.65222
20200405T2100,6.4772773,0.0,8.64467,56.30993
20200405T2200,4.6972775,0.0,8.697869,62.65013
20200405T2300,2.9672773,0.0,7.766828,67.83366
20200406T0000,1.3472772,0.0,6.6812778,66.501434
20200406T0100,-0.30272278,0.0,5.842608,65.772255
20200406T0200,-1.0727228,0.0,5.394189,57.094757
20200406T0300,-1.5927228,0.0,5.117377,51.34018
20200406T0400,-1.9127228,0.0,5.117377,51.34018
20200406T0500,-2.0127227,0.0,5.117377,51.34018
20200406T0600,-2.0527227,0.0,5.0264254,57.994614
20200406T0700,-2.0027227,0.0,5.0052013,64.79888
20200406T0800,1.8272772,0.0,1.9210378,146.30994
20200406T0900,5.2172775,0.0,3.3697233,161.56505
20200406T1000,7.6072774,0.0,4.5600333,173.29016
20200406T1100,9.857277,0.0,4.861344,170.53767
20200406T1200,11.787277,0.0,6.3322554,165.37912
20200406T1300,13.307277,0.0,7.920641,160.34618
20200406T1400,14.067277,0.0,9.953526,164.47589
20200406T1500,14.637277,0.0,11.389962,169.2157
20200406T1600,14.737277,0.0,11.343135,170.53767
20200406T1700,14.597277,0.0,10.605932,168.40782
20200406T1800,14.827277,0.0,10.615965,162.47443
20200406T1900,14.597277,0.0,9.899905,156.19406
20200406T2000,12.767277,0.0,7.743951,139.1849
20200406T2100,11.0472765,0.0,5.9865956,147.72435
20200406T2200,9.737277,0.0,5.328,143.1301
20200406T2300,8.737277,0.0,5.842608,136.84761
20200407T0000,8.097277,0.0,6.0397053,138.57632
20200407T0100,7.8172774,0.0,5.9865956,147.72435
20200407T0200,7.5872774,0.0,6.4433565,150.25511
20200407T0300,7.3372774,0.0,6.3154216,152.35402
20200407T0400,7.037277,0.0,6.552573,153.43495
20200407T0500,6.8472776,0.0,6.9468617,147.52881
20200407T0600,6.6272774,0.3,7.36826,139.3987
20200407T0700,5.8572774,1.4,8.102239,136.33221
20200407T0800,5.9872775,2.2,8.322602,129.80557
20200407T0900,6.8972774,1.1,9.418662,135.0
20200407T1000,8.097277,0.0,10.925649,135.0
20200407T1100,9.207277,0.0,10.609277,141.1155
20200407T1200,10.067277,1.5,10.126704,153.43495
20200407T1300,11.187277,0.5,9.605188,160.55997
20200407T1400,12.737277,0.0,9.460013,170.27242
20200407T1500,15.117277,0.0,10.403253,182.93567
20200407T1600,17.877277,0.0,11.476863,201.8014
20200407T1700,18.507278,0.0,12.486745,213.69006
20200407T1800,19.987278,0.0,12.245709,225.88141
20200407T1900,19.247278,0.4,10.9839525,247.16635
20200407T2000,18.137278,1.2,10.144211,256.3287
20200407T2100,16.717278,1.1,5.124306,297.89728
20200407T2200,16.347279,2.0,2.028842,23.198593
20200407T2300,15.727277,2.8,2.382754,153.43495
20200408T0000,14.877277,3.1,3.4632,247.38014
20200408T0100,14.077277,0.7,4.2624,270.0
20200408T0200,12.397277,0.0,6.828368,290.55603
20200408T0300,12.557277,0.0,9.755479,304.99203
20200408T0400,12.927277,0.0,12.999119,315.83032
20200408T0500,12.427277,0.0,13.226431,325.6698
20200408T0600,11.827277,0.0,12.271761,332.87872
20200408T0700,11.0472765,0.0,10.494943,336.03754
20200408T0800,10.737277,0.0,8.819409,334.98312
20200408T0900,11.117277,0.0,8.955162,300.37912
20200408T1000,12.577277,0.0,10.508459,300.46555
20200408T1100,14.767277,0.0,10.84415,297.8241
20200408T1200,17.197277,0.0,12.070595,292.03625
20200408T1300,18.377277,0.0,13.73188,288.08344
20200408T1400,19.247278,0.0,15.59066,286.8868
20200408T1500,19.837278,0.0,16.259132,288.13806
20200408T1600,20.007278,0.0,14.659262,289.0935
20200408T1700,19.907278,0.0,13.142999,287.70044
20200408T1800,18.937279,0.0,11.712514,287.19855
20200408T1900,18.197277,0.0,9.304952,293.6294
20200408T2000,16.737278,0.0,8.102239,313.6678
20200408T2100,14.2972765,0.1,12.070595,337.96378
20200408T2200,11.757277,0.7,12.426925,329.03625
20200408T2300,9.967277,1.3,11.504656,317.81555
20200409T0000,9.017277,1.7,10.752136,311.98724
20200409T0100,8.717277,1.0,10.144211,293.1986
20200409T0200,8.357277,0.0,12.225409,281.30994
20200409T0300,7.9372773,0.0,16.869663,285.57254
20200409T0400,7.3972774,0.0,19.425291,295.1593
20200409T0500,6.5472775,0.0,20.304153,308.07278
20200409T0600,5.9372773,0.2,19.425291,317.77917
20200409T0700,5.2772775,0.2,17.373285,324.3602
20200409T0800,4.8672776,0.3,16.785313,324.0395
20200409T0900,5.037277,0.2,18.36808,289.48615
20200409T1000,6.4072776,0.0,22.669058,289.92557
20200409T1100,7.1572776,0.0,24.601286,287.65012
20200409T1200,6.057277,0.0,25.081244,282.26477
20200409T1300,5.7572775,0.0,25.918955,282.46494
20200409T1400,5.8472776,0.0,26.970943,286.64505
20200409T1500,5.9772773,0.0,28.390043,288.60498
20200409T1600,5.8772774,0.0,29.74747,289.89545
20200409T1700,4.9772773,0.0,30.525766,290.96573
20200409T1800,4.2572775,0.0,31.067312,292.16635
20200409T1900,3.407277,0.0,29.699718,293.80597
20200409T2000,2.7772772,0.0,28.003696,295.3462
20200409T2100,2.3072772,0.0,19.892786,290.37643
20200409T2200,1.7672772,0.0,20.151535,294.1932
20200409T2300,0.9272772,0.0,20.262167,298.24973
20200410T0000,0.06727722,0.0,20.027893,298.61047
20200410T0100,-0.30272278,0.0,20.69878,301.84906
20200410T0200,-0.5527228,0.0,21.898338,306.5911
20200410T0300,0.21727723,0.0,23.60761,310.88184
20200410T0400,0.49727723,0.0,25.824316,312.90985
20200410T0500,0.27727723,0.0,26.020065,312.51044
20200410T0600,-0.5527228,0.0,25.464552,312.03177
20200410T0700,-1.1727228,0.0,24.158821,311.42368
20200410T0800,-0.06272277,0.0,24.763739,310.2002
20200410T0900,0.98727727,0.0,25.548023,309.4996
20200410T1000,2.3072772,0.0,26.96963,312.19757
20200410T1100,3.927277,0.0,27.879242,315.0
20200410T1200,5.6072774,0.0,26.943302,313.79816
20200410T1300,5.5672774,0.0,26.415276,311.72952
20200410T1400,6.3172774,0.0,25.586885,308.65982
20200410T1500,6.4672775,0.0,24.991955,305.89267
20200410T1600,5.9572773,0.0,24.826708,303.17853
20200410T1700,5.807277,0.0,24.625795,301.28265
20200410T1800,5.4572773,0.0,23.625639,299.74487
20200410T1900,4.9372773,0.0,21.747118,300.96375
20200410T2000,3.7272773,0.0,18.327469,302.53506
20200410T2100,2.1072772,0.0,11.651765,280.53918
20200410T2200,1.0972772,0.0,9.885558,284.03625
20200410T2300,1.0672772,0.0,8.424308,288.43497
20200411T0000,1.0972772,0.0,6.9161463,285.64224
20200411T0100,0.8272772,0.0,6.179102,277.4314
20200411T0200,-0.31272277,0.0,5.8608,270.0
20200411T0300,-0.8027228,0.0,5.4919763,255.96376
20200411T0400,-1.2927228,0.0,5.7631135,236.30994
20200411T0500,-1.2227228,0.0,6.0397053,221.42368
20200411T0600,-1.4227228,0.0,5.7631135,213.69006
20200411T0700,-1.7127228,0.0,5.9568853,206.56505
20200411T0800,0.9572772,0.0,6.552573,206.56505
20200411T0900,4.3672776,0.0,11.086849,215.21759
20200411T1000,6.6772776,0.0,13.386435,222.5805
20200411T1100,8.717277,0.0,13.234477,229.8991
20200411T1200,10.347277,0.0,13.586399,241.92752
20200411T1300,11.577277,0.0,14.156848,250.20113
20200411T1400,12.567277,0.0,14.9112625,251.24135
20200411T1500,13.357277,0.0,15.257069,245.22485
20200411T1600,13.787277,0.0,15.733395,241.69925
20200411T1700,13.947277,0.0,15.222144,237.14429
20200411T1800,13.497277,0.0,14.360911,229.51398
20200411T1900,13.557277,0.0,12.2021675,216.11934
20200411T2000,11.937277,0.0,8.062727,187.59465
20200411T2100,9.617277,0.0,8.819409,154.98311
20200411T2200,9.087277,0.0,10.196545,160.14479
20200411T2300,8.727277,0.0,12.020515,167.19574
20200412T0000,7.8172774,0.0,12.53213,177.56335
20200412T0100,7.5072775,0.0,12.061772,186.3402
20200412T0200,7.2172775,0.0,11.630427,200.09523
20200412T0300,6.5972776,0.4,10.84415,207.8241
20200412T0400,6.1672773,1.5,9.824346,192.52881
20200412T0500,6.1372776,0.7,9.953526,164.47589
20200412T0600,6.0772777,0.0,10.609278,151.50436
20200412T0700,6.0872774,0.0,10.508459,149.53445
20200412T0800,6.6272774,0.0,11.102841,149.74356
20200412T0900,7.6172776,0.0,11.748815,147.0306
20200412T1000,9.007277,0.0,12.199259,148.3925
20200412T1100,11.907277,0.0,12.509458,153.43495
20200412T1200,14.487277,0.0,13.320001,163.73979
20200412T1300,14.377277,0.0,13.8758335,176.69814
20200412T1400,13.757277,0.0,13.586399,180.0
20200412T1500,13.5472765,0.0,13.589011,178.8767
20200412T1600,13.557277,0.0,14.395464,177.8789
20200412T1700,13.407277,0.0,15.243108,174.9869
20200412T1800,13.467277,0.0,16.886482,173.6598
20200412T1900,13.477277,0.0,17.4812,172.11687
20200412T2000,13.447277,0.0,18.087755,170.6764
20200412T2100,13.447277,0.0,17.511621,166.80939
20200412T2200,13.427277,0.4,17.186413,161.00334
20200412T2300,13.157277,0.8,17.414085,150.68999